"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V770","2019-07-31 00:00:00","26.000","32.000","0.600","27.100","0.990","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","26.700",""
"C0V810","2019-07-31 00:00:00","32.000","23.000","1.600","29.100","0.830","1002.500","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","28.200",""
"C0A9C0","2019-07-31 00:00:00","35.000","105.000","2.100","29.800","0.610","1003.900","-99.000","0.000","-99.000","-99.000","-99.000","35.000","","27.400",""
"C0X310","2019-07-31 00:00:00","9.000","102.000","0.400","27.200","0.860","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","27.200",""
"C0K280","2019-07-31 00:00:00","23.000","185.000","1.000","27.300","0.910","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","35.100","","26.200",""
"C0M650","2019-07-31 00:00:00","20.000","178.000","1.600","26.500","0.890","1005.800","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","26.500",""
"C0S910","2019-07-31 00:00:00","212.000","91.000","2.200","26.700","0.880","986.400","-99.000","0.000","-99.000","-99.000","-99.000","29.700","","25.400",""
"C0D570","2019-07-31 00:00:00","15.000","0.000","0.000","28.000","0.960","1005.600","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.500",""
"C0M710","2019-07-31 00:00:00","15.000","162.000","1.700","29.100","0.840","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","27.900",""
"C0V490","2019-07-31 00:00:00","20.000","10.000","1.300","29.900","0.790","1005.100","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","28.500",""
"C0E870","2019-07-31 00:00:00","34.000","136.000","0.500","27.600","0.920","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","26.800",""
"C0M800","2019-07-31 00:00:00","440.000","0.000","0.000","23.500","0.930","960.100","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","22.100",""
"C0A570","2019-07-31 00:00:00","360.000","84.000","1.400","24.700","0.840","968.800","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","22.700",""
